x,y,Left Distance,Right Distance,Top Distance,Bottom Distance
93.10000000000001,99.80000000000001,93.10000000000001,837.9,99.80000000000001,898.2
341.3666666666667,99.80000000000001,341.3666666666667,589.6333333333333,99.80000000000001,898.2
589.6333333333333,99.80000000000001,589.6333333333333,341.3666666666667,99.80000000000001,898.2
837.9,99.80000000000001,837.9,93.10000000000002,99.80000000000001,898.2
93.10000000000001,365.9333333333334,93.10000000000001,837.9,365.9333333333334,632.0666666666666
341.3666666666667,365.9333333333334,341.3666666666667,589.6333333333333,365.9333333333334,632.0666666666666
589.6333333333333,365.9333333333334,589.6333333333333,341.3666666666667,365.9333333333334,632.0666666666666
837.9,365.9333333333334,837.9,93.10000000000002,365.9333333333334,632.0666666666666
93.10000000000001,632.0666666666668,93.10000000000001,837.9,632.0666666666668,365.93333333333317
341.3666666666667,632.0666666666668,341.3666666666667,589.6333333333333,632.0666666666668,365.93333333333317
589.6333333333333,632.0666666666668,589.6333333333333,341.3666666666667,632.0666666666668,365.93333333333317
837.9,632.0666666666668,837.9,93.10000000000002,632.0666666666668,365.93333333333317
93.10000000000001,898.2,93.10000000000001,837.9,898.2,99.79999999999995
341.3666666666667,898.2,341.3666666666667,589.6333333333333,898.2,99.79999999999995
589.6333333333333,898.2,589.6333333333333,341.3666666666667,898.2,99.79999999999995
837.9,898.2,837.9,93.10000000000002,898.2,99.79999999999995
